Destination,Origin,Transit_Times,Lat,Lon
SW11 3TJ,N1 6TD,62.916666666666664,51.476336,-0.17093
E14 9FE,N1 6TD,41.25,51.50055800000001,-0.012639
N4 4NJ,N1 6TD,38.25,51.572875,-0.107155
SW10 0EF,N1 6TD,57.75,51.481517,-0.177939
N22 5AU,N1 6TD,56.93333333333333,51.607835,-0.105355
SW11 5EL,N1 6TD,42.166666666666664,51.462633,-0.156118
E17 6LU,N1 6TD,36.11666666666667,51.582368,-0.039599
W14 9BN,N1 6TD,48.05,51.49279600000001,-0.214338
SE5 8HU,N1 6TD,44.56666666666667,51.461854,-0.090029
W8 6JQ,EC1V 8DE,48.8,51.496001,-0.193468
SE1 6RJ,EC1V 8DE,28.75,51.495352,-0.093369
N12 0PH,EC1V 8DE,55.86666666666667,51.609648,-0.173203
SW18 4BP,EC1V 8DE,62.61666666666667,51.454104,-0.194507
SE5 8ND,EC1V 8DE,48.18333333333333,51.472694,-0.080361
SE4 1XX,EC1V 8DE,44.21666666666667,51.462091,-0.029383
SW11 2AE,EC1V 8BE,55.81666666666667,51.461796,-0.176205
SE27 0QG,EC1V 8BE,81.61666666666666,51.425149,-0.109066
SE6 4EQ,EC1V 8BE,50.55,51.437239,-0.034928
N16 8DH,EC1V 8BE,30.433333333333334,51.553249,-0.077043
SE15 3DG,EC1V 8BE,57.88333333333333,51.456985,-0.049352
SE14 5HT,EC1Y 8SE,43.9,51.476563,-0.049957
N10 2LD,EC1Y 8SE,46.8,51.594914,-0.137425
E14 8JX,EC1Y 8SE,39.68333333333333,51.499679,-0.027142000000000003
SE14 5XG,EC1Y 8SE,50.86666666666667,51.480671,-0.046628
E17 7AL,EC1Y 8SE,33.13333333333333,51.581579,-0.03653
SW18 5QD,EC1Y 8SE,65.56666666666666,51.449617,-0.215721
W2 6DH,EC1Y 8SE,32.53333333333333,51.515024,-0.181473
W10 4ED,EC1Y 8SE,48.7,51.530433,-0.214596
SW12 0LZ,EC1V 3RB,44.81666666666667,51.446519,-0.14246199999999998
NW6 5LA,EC1V 3RB,44.38333333333333,51.531286,-0.19334
NW6 6DT,EC1V 3RB,47.3,51.539713,-0.210411
N16 9AR,EC1V 3RB,30.283333333333335,51.55677100000001,-0.086214
N4 3PJ,EC1V 3RB,28.95,51.564011,-0.110669
E8 4SH,EC1V 3RB,26.733333333333334,51.53738900000001,-0.068411
WC1H 8HG,N1 7PS,20.75,51.527977,-0.123478
E3 3RD,N1 7PS,40.18333333333333,51.519745,-0.020409
W14 9HG,N1 7PS,48.983333333333334,51.488544,-0.209693
SW19 8JY,N1 7PS,59.2,51.426651,-0.19231
N18 1NP,N1 7PS,69.21666666666667,51.619411,-0.078914
SE20 8NQ,N1 7PS,49.68333333333333,51.41584,-0.06489600000000001
NW5 4PS,N1 7PS,36.0,51.551422,-0.15399000000000002
SW10 9JJ,N1 7PS,48.266666666666666,51.487153,-0.187638
SE19 1ET,N1 7PS,57.71666666666667,51.421632,-0.08848500000000001
SE24 9AF,N1 7PU,49.9,51.447456,-0.10328
N17 9BU,N1 7PU,36.583333333333336,51.593297,-0.068004
SW9 0LS,N1 7PU,24.883333333333333,51.480175,-0.112983
N17 7PZ,N1 7PU,41.766666666666666,51.599191,-0.09077
SE27 0SZ,EC1Y 8TB,66.68333333333334,51.427516,-0.109773
E1W 3EF,EC1Y 8TB,29.916666666666668,51.510002,-0.049149
NW6 6DB,EC1Y 8TB,49.083333333333336,51.535001,-0.21750300000000006
E5 8JH,EC1Y 8TB,38.11666666666667,51.55245,-0.056926
E3 4TD,EC2Y 8NH,22.6,51.52399000000001,-0.032737
WC1N 1BL,EC2Y 8NH,20.033333333333335,51.525952,-0.123388
CR4 3SH,EC2Y 8NH,54.05,51.412671,-0.174551
E2 0SD,EC2Y 8NH,26.516666666666666,51.529499,-0.044322
SW11 2SU,EC2Y 8NH,49.75,51.469327,-0.1753
E1 0DT,EC2Y 8NH,29.45,51.51280300000001,-0.049375
N2 8BS,EC2Y 8NH,40.416666666666664,51.590735,-0.168404
N10 3LS,EC2Y 8NH,46.46666666666667,51.590722,-0.14585399999999998
E1 5LA,EC2Y 8NH,21.65,51.518292,-0.068066
SW10 9PA,EC2Y 8NH,40.266666666666666,51.486829,-0.176056
N1 7HJ,EC1V 3RH,11.783333333333333,51.533193,-0.087866
E14 8LQ,EC1V 3RH,37.6,51.500357,-0.025197
N22 5AT,EC1V 3RH,64.15,51.607761,-0.108351
SE1 5EY,EC1V 3RH,46.166666666666664,51.487006,-0.069158
NW11 0NU,EC1V 3SS,35.6,51.577917,-0.19839
SE8 5DY,EC1V 3SS,35.68333333333333,51.491221,-0.041898000000000005
N19 4LD,EC1V 3SS,40.78333333333333,51.563047,-0.124026
W12 7DP,EC1V 3SS,41.85,51.506526,-0.224897
E10 5NS,EC1V 3SS,34.55,51.557654,-0.008506
E14 0HQ,EC1V 3SS,29.5,51.509387,-0.007758
W9 3NG,EC1V 3SS,38.31666666666667,51.523368,-0.202994
SE24 9LD,EC1V 3SS,43.5,51.454141,-0.094036
SW8 1EL,EC1V 3SS,32.6,51.479404,-0.120979
SW17 0EB,EC1V 3SS,42.96666666666667,51.432127,-0.173675
SW9 7RG,N1 7SL,35.46666666666667,51.475938,-0.108982
SW11 5SS,N1 7SL,49.4,51.463937,-0.15898800000000002
NW5 2AH,N1 7SL,38.733333333333334,51.545636,-0.137419
N7 0PP,N1 7SL,32.266666666666666,51.557722,-0.12500899999999998
NW3 2YH,N1 7SL,30.033333333333335,51.548916,-0.15896300000000002
N15 3RL,EC1Y 8QB,39.1,51.58581,-0.094593
E14 3SD,EC1Y 8QB,55.31666666666667,51.49345,-0.026763
N18 2TP,EC1Y 8QB,46.81666666666667,51.611906,-0.066
N7 0RN,EC1Y 2AN,26.85,51.55657100000001,-0.11832
W9 1LY,EC1Y 2AN,38.03333333333333,51.527465,-0.187551
SW18 1SG,EC1Y 2AN,57.733333333333334,51.458935,-0.199336
E14 6QT,EC1Y 2AN,35.583333333333336,51.519592,-0.011249
SW11 3NG,EC1Y 2AN,61.05,51.476885,-0.173846
E17 8DU,EC1Y 2AN,40.016666666666666,51.573959,-0.027175
